From,To,Time
1,31,2010-01-06 09:23:07
1,55,2010-01-06 09:23:07
1,68,2010-01-06 09:23:07
1,67,2010-01-06 09:23:07
46,67,2010-01-06 09:47:59
37,65,2010-01-06 09:48:14
63,8,2010-01-06 10:12:44
8,13,2010-01-06 10:29:46
6,71,2010-01-06 10:32:46
6,7,2010-01-06 10:32:46
6,23,2010-01-06 10:32:46
6,13,2010-01-06 10:32:46
6,12,2010-01-06 10:32:46
6,19,2010-01-06 10:32:46
6,44,2010-01-06 10:32:46
6,33,2010-01-06 10:32:46
6,56,2010-01-06 10:32:46
6,67,2010-01-06 10:32:46
6,73,2010-01-06 10:32:46
6,66,2010-01-06 10:32:46
6,32,2010-01-06 10:32:46
6,57,2010-01-06 10:32:46
6,3,2010-01-06 10:32:46
6,29,2010-01-06 10:32:46
6,30,2010-01-06 10:32:46
6,37,2010-01-06 10:32:46
6,54,2010-01-06 10:32:46
6,2,2010-01-06 10:32:46
6,50,2010-01-06 10:32:46
6,34,2010-01-06 10:32:46
6,69,2010-01-06 10:32:46
6,26,2010-01-06 10:32:46
6,42,2010-01-06 10:32:46
6,58,2010-01-06 10:32:46
6,43,2010-01-06 10:32:46
6,62,2010-01-06 10:32:46
5,7,2010-01-06 10:39:22
14,8,2010-01-06 11:00:46
67,52,2010-01-06 11:03:02
64,58,2010-01-06 11:08:27
17,50,2010-01-06 11:11:04
29,32,2010-01-06 11:18:24
29,14,2010-01-06 11:18:24
29,53,2010-01-06 11:18:24
29,16,2010-01-06 11:19:19
29,2,2010-01-06 11:19:19
29,7,2010-01-06 11:19:19
29,19,2010-01-06 11:20:33
29,34,2010-01-06 11:20:33
29,4,2010-01-06 11:21:31
29,38,2010-01-06 11:22:10
23,26,2010-01-06 11:25:22
26,66,2010-01-06 11:28:24
26,55,2010-01-06 11:28:24
26,71,2010-01-06 11:28:24
26,37,2010-01-06 11:28:24
26,46,2010-01-06 11:28:24
26,31,2010-01-06 11:28:24
37,62,2010-01-06 11:37:19
58,8,2010-01-06 11:41:16
58,13,2010-01-06 11:41:16
26,24,2010-01-06 11:55:54
26,8,2010-01-06 11:55:54
26,30,2010-01-06 11:55:54
38,28,2010-01-06 11:56:04
19,12,2010-01-06 12:03:23
34,0,2010-01-06 12:08:04
41,36,2010-01-06 12:14:42
37,29,2010-01-06 13:08:47
22,44,2010-01-06 13:12:09
53,38,2010-01-06 13:32:32
53,26,2010-01-06 13:32:32
53,28,2010-01-06 13:32:32
71,8,2010-01-06 14:00:24
71,13,2010-01-06 14:00:24
71,64,2010-01-06 14:00:24
37,71,2010-01-06 14:49:48
37,68,2010-01-06 15:08:10
37,67,2010-01-06 15:08:10
37,55,2010-01-06 15:08:10
37,8,2010-01-06 15:09:35
8,64,2010-01-06 15:23:46
21,1,2010-01-06 16:13:31
32,11,2010-01-07 07:07:11
13,31,2010-01-07 07:46:24
49,26,2010-01-07 07:51:43
23,44,2010-01-07 07:55:49
12,69,2010-01-07 08:53:46
68,67,2010-01-07 09:00:31
68,71,2010-01-07 09:00:31
19,27,2010-01-07 09:28:56
69,3,2010-01-07 09:39:23
35,8,2010-01-07 10:27:53
30,24,2010-01-07 10:52:42
49,47,2010-01-07 10:57:13
23,14,2010-01-07 11:00:22
23,65,2010-01-07 11:00:22
3,68,2010-01-07 11:08:45
53,11,2010-01-07 12:25:40
69,47,2010-01-07 12:40:42
69,67,2010-01-07 12:40:42
63,22,2010-01-07 12:48:46
17,68,2010-01-07 12:59:08
69,48,2010-01-07 12:59:11
69,39,2010-01-07 13:01:37
69,35,2010-01-07 13:03:08
37,69,2010-01-07 13:03:08
37,17,2010-01-07 13:13:24
17,36,2010-01-07 13:13:24
17,26,2010-01-07 13:13:24
49,52,2010-01-07 13:57:31
67,64,2010-01-07 16:51:05
67,8,2010-01-07 16:51:05
67,71,2010-01-07 16:51:05
67,65,2010-01-07 16:51:05
67,14,2010-01-07 16:51:05
67,66,2010-01-07 16:51:05
13,30,2010-01-08 06:59:14
30,62,2010-01-08 08:01:03
30,41,2010-01-08 08:01:03
24,8,2010-01-08 08:31:19
38,27,2010-01-08 09:26:52
0,36,2010-01-08 09:43:44
0,35,2010-01-08 09:43:44
73,30,2010-01-08 09:43:50
28,49,2010-01-08 09:59:04
57,45,2010-01-08 10:10:59
57,22,2010-01-08 10:10:59
57,28,2010-01-08 10:10:59
57,3,2010-01-08 10:10:59
57,53,2010-01-08 10:10:59
32,20,2010-01-08 10:19:38
19,7,2010-01-08 11:48:01
29,24,2010-01-08 11:54:09
29,44,2010-01-08 11:59:18
41,13,2010-01-08 12:06:24
41,8,2010-01-08 12:06:24
31,51,2010-01-08 12:26:52
8,2,2010-01-08 13:38:53
8,12,2010-01-08 13:38:53
0,58,2010-01-08 13:54:57
44,65,2010-01-08 14:22:58
44,33,2010-01-08 14:22:58
44,2,2010-01-08 14:22:58
44,3,2010-01-08 14:22:58
44,4,2010-01-08 14:22:58
44,16,2010-01-08 14:22:58
44,50,2010-01-08 14:22:58
44,10,2010-01-08 14:22:58
44,11,2010-01-08 14:22:58
44,19,2010-01-08 14:22:58
44,14,2010-01-08 14:22:58
44,54,2010-01-08 14:22:58
44,27,2010-01-08 14:22:58
44,12,2010-01-08 14:22:58
44,37,2010-01-08 14:22:58
44,53,2010-01-08 14:22:58
44,32,2010-01-08 14:22:58
44,28,2010-01-08 14:22:58
44,47,2010-01-08 14:22:58
44,18,2010-01-08 14:22:58
44,9,2010-01-08 14:22:58
44,20,2010-01-08 14:22:58
44,73,2010-01-08 14:22:58
44,67,2010-01-08 14:22:58
44,15,2010-01-08 14:22:58
44,1,2010-01-08 14:22:58
44,64,2010-01-08 14:22:58
44,66,2010-01-08 14:22:58
44,59,2010-01-08 14:22:58
44,5,2010-01-08 14:22:58
44,39,2010-01-08 14:22:58
44,43,2010-01-08 14:22:58
44,52,2010-01-08 14:22:58
44,72,2010-01-08 14:22:58
44,24,2010-01-08 14:22:58
44,60,2010-01-08 14:22:58
44,46,2010-01-08 14:22:58
44,26,2010-01-08 14:22:58
44,21,2010-01-08 14:22:58
44,34,2010-01-08 14:22:58
44,45,2010-01-08 14:22:58
44,35,2010-01-08 14:22:58
44,41,2010-01-08 14:22:58
44,68,2010-01-08 14:22:58
44,55,2010-01-08 14:22:58
44,17,2010-01-08 14:22:58
44,0,2010-01-08 14:22:58
44,69,2010-01-08 14:22:58
44,58,2010-01-08 14:22:58
44,7,2010-01-08 14:22:58
44,40,2010-01-08 14:22:58
44,63,2010-01-08 14:22:58
44,13,2010-01-08 14:22:58
44,30,2010-01-08 14:22:58
44,48,2010-01-08 14:22:58
44,36,2010-01-08 14:22:58
44,8,2010-01-08 14:22:58
44,51,2010-01-08 14:22:58
44,49,2010-01-08 14:22:58
44,71,2010-01-08 14:22:58
44,31,2010-01-08 14:22:58
44,38,2010-01-08 14:22:58
44,56,2010-01-08 14:22:58
44,70,2010-01-08 14:22:58
44,57,2010-01-08 14:22:58
26,52,2010-01-11 06:39:17
26,34,2010-01-11 06:39:17
49,7,2010-01-11 06:57:24
70,56,2010-01-11 07:03:27
62,63,2010-01-11 07:23:08
31,24,2010-01-11 07:24:36
12,71,2010-01-11 07:27:40
57,42,2010-01-11 07:58:08
70,14,2010-01-11 08:29:16
70,72,2010-01-11 08:29:16
70,41,2010-01-11 08:36:38
70,20,2010-01-11 08:36:50
45,36,2010-01-11 08:59:16
45,35,2010-01-11 08:59:16
52,34,2010-01-11 09:00:46
63,42,2010-01-11 09:49:09
1,5,2010-01-11 10:15:27
49,40,2010-01-11 11:13:02
49,51,2010-01-11 11:13:02
69,0,2010-01-11 11:18:14
68,52,2010-01-11 12:00:13
52,51,2010-01-11 12:18:46
46,54,2010-01-11 12:56:27
23,59,2010-01-11 13:34:29
52,12,2010-01-11 13:41:46
30,23,2010-01-11 13:46:57
8,31,2010-01-11 14:11:07
36,71,2010-01-11 14:20:37
70,30,2010-01-11 14:28:46
2,71,2010-01-12 07:28:29
31,65,2010-01-12 08:16:32
29,35,2010-01-12 08:36:49
29,36,2010-01-12 08:36:49
70,73,2010-01-12 09:17:51
55,71,2010-01-12 09:22:06
69,49,2010-01-12 09:28:23
42,20,2010-01-12 10:17:29
42,5,2010-01-12 10:17:29
42,28,2010-01-12 10:21:50
20,6,2010-01-12 10:35:33
12,15,2010-01-12 10:37:49
67,12,2010-01-12 10:52:23
43,37,2010-01-12 10:54:14
43,0,2010-01-12 10:54:14
69,13,2010-01-12 11:16:40
69,31,2010-01-12 11:19:08
69,26,2010-01-12 11:19:08
69,29,2010-01-12 11:19:08
69,46,2010-01-12 11:19:08
69,30,2010-01-12 11:19:08
69,72,2010-01-12 11:19:08
69,61,2010-01-12 11:19:08
69,73,2010-01-12 11:19:08
69,62,2010-01-12 11:20:07
69,41,2010-01-12 11:20:07
5,36,2010-01-12 12:39:06
5,35,2010-01-12 12:39:06
13,68,2010-01-12 12:52:41
13,67,2010-01-12 12:52:41
13,63,2010-01-12 12:52:41
73,26,2010-01-12 12:53:19
41,17,2010-01-12 13:12:30
49,25,2010-01-12 13:22:44
49,65,2010-01-12 13:22:44
61,70,2010-01-12 13:27:52
68,12,2010-01-12 13:36:47
29,25,2010-01-12 13:56:33
9,42,2010-01-12 14:04:19
30,25,2010-01-13 08:40:46
39,40,2010-01-13 08:49:20
21,5,2010-01-13 09:18:42
36,2,2010-01-13 09:51:43
36,61,2010-01-13 09:51:43
36,4,2010-01-13 09:51:43
36,50,2010-01-13 09:51:43
36,16,2010-01-13 09:51:43
36,3,2010-01-13 09:51:43
36,33,2010-01-13 09:51:43
36,10,2010-01-13 09:51:43
36,65,2010-01-13 09:51:43
36,19,2010-01-13 09:51:43
36,32,2010-01-13 09:51:43
36,25,2010-01-13 09:51:43
36,28,2010-01-13 09:51:43
36,14,2010-01-13 09:51:43
36,11,2010-01-13 09:51:43
36,54,2010-01-13 09:51:43
36,27,2010-01-13 09:51:43
36,12,2010-01-13 09:51:43
36,64,2010-01-13 09:51:43
36,6,2010-01-13 09:51:43
36,18,2010-01-13 09:51:43
36,22,2010-01-13 09:51:43
36,20,2010-01-13 09:51:43
36,73,2010-01-13 09:51:43
36,67,2010-01-13 09:51:43
36,15,2010-01-13 09:51:43
36,47,2010-01-13 09:51:43
36,1,2010-01-13 09:51:43
36,53,2010-01-13 09:51:43
36,39,2010-01-13 09:51:43
36,66,2010-01-13 09:51:43
36,59,2010-01-13 09:51:43
36,9,2010-01-13 09:51:43
36,58,2010-01-13 09:51:43
36,21,2010-01-13 09:51:43
36,43,2010-01-13 09:51:43
36,60,2010-01-13 09:51:43
36,46,2010-01-13 09:51:43
36,26,2010-01-13 09:51:43
36,69,2010-01-13 09:51:43
36,34,2010-01-13 09:51:43
36,49,2010-01-13 09:51:43
36,24,2010-01-13 09:51:43
36,42,2010-01-13 09:51:43
36,72,2010-01-13 09:51:43
36,52,2010-01-13 09:51:43
36,7,2010-01-13 09:51:43
36,51,2010-01-13 09:51:43
36,8,2010-01-13 09:51:43
36,40,2010-01-13 09:51:43
36,63,2010-01-13 09:51:43
36,13,2010-01-13 09:51:43
36,30,2010-01-13 09:51:43
36,48,2010-01-13 09:51:43
36,23,2010-01-13 09:51:43
36,55,2010-01-13 09:51:43
36,38,2010-01-13 09:51:43
36,31,2010-01-13 09:51:43
36,56,2010-01-13 09:51:43
36,57,2010-01-13 09:51:43
36,68,2010-01-13 09:51:43
36,70,2010-01-13 09:51:43
20,71,2010-01-13 10:05:54
49,39,2010-01-13 10:07:48
12,65,2010-01-13 12:01:27
24,65,2010-01-13 13:28:08
61,21,2010-01-13 13:39:40
71,63,2010-01-13 14:55:15
39,60,2010-01-14 06:06:19
28,45,2010-01-14 07:15:56
28,33,2010-01-14 07:15:56
49,50,2010-01-14 07:25:36
49,34,2010-01-14 07:25:36
49,17,2010-01-14 07:25:36
62,73,2010-01-14 09:06:24
43,26,2010-01-14 09:46:49
25,65,2010-01-14 10:07:23
17,12,2010-01-14 10:21:45
17,34,2010-01-14 10:21:45
2,25,2010-01-14 12:46:57
55,68,2010-01-14 13:29:15
58,43,2010-01-14 14:50:54
13,64,2010-01-15 06:44:20
47,12,2010-01-15 07:27:43
0,68,2010-01-15 08:09:52
0,67,2010-01-15 08:09:52
38,35,2010-01-15 09:26:50
39,48,2010-01-15 10:36:23
8,4,2010-01-15 12:36:03
31,30,2010-01-15 13:18:15
49,48,2010-01-15 13:21:04
1,32,2010-01-18 07:41:14
38,65,2010-01-18 07:55:45
38,25,2010-01-18 07:55:45
38,2,2010-01-18 07:55:45
52,39,2010-01-18 09:15:10
41,4,2010-01-18 09:41:38
41,14,2010-01-18 10:01:51
67,62,2010-01-18 10:32:58
19,37,2010-01-18 10:37:36
32,62,2010-01-18 10:41:42
29,46,2010-01-18 11:23:47
4,53,2010-01-18 11:49:01
8,70,2010-01-18 11:49:09
12,46,2010-01-18 11:54:21
58,62,2010-01-18 12:11:00
60,11,2010-01-18 12:45:39
69,55,2010-01-18 13:03:38
63,37,2010-01-18 13:46:55
11,70,2010-01-18 14:20:38
9,58,2010-01-19 07:34:12
41,37,2010-01-19 07:46:48
69,19,2010-01-19 08:14:03
63,21,2010-01-19 08:32:43
68,49,2010-01-19 09:39:23
19,62,2010-01-19 11:05:20
49,37,2010-01-19 12:15:07
49,0,2010-01-19 12:15:07
2,40,2010-01-19 12:37:06
11,72,2010-01-19 12:41:26
64,43,2010-01-19 14:07:39
22,33,2010-01-20 06:45:05
22,45,2010-01-20 06:45:05
43,8,2010-01-20 06:50:37
55,70,2010-01-20 08:03:32
17,19,2010-01-20 12:42:05
52,70,2010-01-20 12:59:47
27,7,2010-01-20 13:02:01
46,39,2010-01-20 14:09:55
9,1,2010-01-21 07:54:44
9,13,2010-01-21 07:55:17
37,4,2010-01-21 08:21:17
37,16,2010-01-21 08:21:17
37,3,2010-01-21 08:21:17
37,50,2010-01-21 08:21:17
37,10,2010-01-21 08:21:17
37,32,2010-01-21 08:21:17
37,25,2010-01-21 08:21:17
37,11,2010-01-21 08:21:17
37,54,2010-01-21 08:21:17
37,27,2010-01-21 08:21:17
37,72,2010-01-21 08:21:17
37,30,2010-01-21 08:21:17
37,9,2010-01-21 08:21:17
37,28,2010-01-21 08:21:17
37,13,2010-01-21 08:21:17
37,22,2010-01-21 08:21:17
37,20,2010-01-21 08:21:17
37,73,2010-01-21 08:21:17
37,15,2010-01-21 08:21:17
37,53,2010-01-21 08:21:17
37,64,2010-01-21 08:21:17
37,59,2010-01-21 08:21:17
37,5,2010-01-21 08:21:17
37,39,2010-01-21 08:21:17
37,40,2010-01-21 08:21:17
37,47,2010-01-21 08:21:17
37,52,2010-01-21 08:21:17
37,60,2010-01-21 08:21:17
37,2,2010-01-21 08:21:17
37,46,2010-01-21 08:21:17
37,42,2010-01-21 08:21:17
37,34,2010-01-21 08:21:17
37,45,2010-01-21 08:21:17
37,58,2010-01-21 08:21:17
37,24,2010-01-21 08:21:17
37,23,2010-01-21 08:21:17
37,7,2010-01-21 08:21:17
37,70,2010-01-21 08:21:17
37,1,2010-01-21 08:21:17
37,51,2010-01-21 08:21:17
37,57,2010-01-21 08:21:17
37,56,2010-01-21 08:21:17
37,48,2010-01-21 08:21:17
8,55,2010-01-21 08:42:52
8,68,2010-01-21 08:42:52
13,12,2010-01-21 09:04:23
9,62,2010-01-21 10:59:38
9,67,2010-01-21 10:59:38
9,4,2010-01-21 10:59:38
9,72,2010-01-21 10:59:38
9,64,2010-01-21 10:59:38
9,21,2010-01-21 10:59:38
9,26,2010-01-21 10:59:38
9,41,2010-01-21 10:59:38
68,64,2010-01-21 15:37:24
68,66,2010-01-21 15:37:24
68,14,2010-01-21 15:37:24
12,73,2010-01-22 07:31:53
12,72,2010-01-22 07:31:53
3,70,2010-01-22 08:16:14
68,62,2010-01-22 11:34:06
4,55,2010-01-22 13:11:21
38,49,2010-01-22 13:25:24
57,72,2010-01-25 09:09:28
21,35,2010-01-25 09:17:17
64,63,2010-01-25 09:41:42
28,55,2010-01-25 10:32:45
28,51,2010-01-25 10:32:45
19,35,2010-01-25 10:35:01
5,39,2010-01-25 10:37:48
5,9,2010-01-25 10:37:48
5,19,2010-01-25 10:37:48
14,2,2010-01-25 11:15:45
53,0,2010-01-25 12:05:21
0,55,2010-01-25 12:52:27
17,63,2010-01-25 13:00:17
27,53,2010-01-25 13:07:27
27,26,2010-01-25 13:09:13
19,52,2010-01-25 13:40:38
19,49,2010-01-25 13:40:38
58,63,2010-01-25 15:12:02
70,33,2010-01-26 07:04:54
48,42,2010-01-26 07:45:38
25,22,2010-01-26 08:22:34
53,30,2010-01-26 10:18:46
25,59,2010-01-26 10:46:26
55,17,2010-01-26 12:07:32
66,43,2010-01-27 08:04:05
62,56,2010-01-27 12:34:27
49,33,2010-01-27 13:12:19
21,0,2010-01-27 14:04:07
70,25,2010-01-28 09:19:05
30,29,2010-01-28 09:45:04
19,3,2010-01-29 05:53:41
19,41,2010-01-29 05:53:41
19,50,2010-01-29 05:53:41
5,3,2010-01-29 06:05:45
5,30,2010-01-29 06:05:45
5,48,2010-01-29 06:05:45
5,41,2010-01-29 06:05:45
5,45,2010-01-29 06:05:45
5,15,2010-01-29 06:05:45
5,49,2010-01-29 06:05:45
56,28,2010-01-29 07:32:13
56,54,2010-01-29 07:32:13
56,55,2010-01-29 07:32:13
56,42,2010-01-29 07:32:13
45,71,2010-01-29 08:02:27
45,68,2010-01-29 08:02:27
45,48,2010-01-29 08:02:27
45,31,2010-01-29 08:02:27
45,38,2010-01-29 08:02:27
45,51,2010-01-29 08:02:27
45,13,2010-01-29 08:02:27
45,23,2010-01-29 08:02:27
45,40,2010-01-29 08:02:27
45,63,2010-01-29 08:02:27
45,58,2010-01-29 08:02:27
45,72,2010-01-29 08:02:27
45,8,2010-01-29 08:02:27
45,21,2010-01-29 08:02:27
45,43,2010-01-29 08:02:27
45,70,2010-01-29 08:02:27
45,56,2010-01-29 08:02:27
45,49,2010-01-29 08:02:27
45,55,2010-01-29 08:02:27
45,41,2010-01-29 08:02:27
45,29,2010-01-29 08:02:27
45,46,2010-01-29 08:02:27
45,69,2010-01-29 08:02:27
45,52,2010-01-29 08:02:27
45,17,2010-01-29 08:02:27
45,24,2010-01-29 08:02:27
45,60,2010-01-29 08:02:27
45,42,2010-01-29 08:02:27
45,26,2010-01-29 08:02:27
45,34,2010-01-29 08:02:27
45,30,2010-01-29 08:02:27
45,7,2010-01-29 08:02:27
1,28,2010-01-29 08:04:50
1,6,2010-01-29 08:04:50
1,19,2010-01-29 08:04:50
1,42,2010-01-29 08:04:50
1,69,2010-01-29 08:04:50
1,45,2010-01-29 08:04:50
4,65,2010-01-29 08:09:06
47,54,2010-01-29 08:26:53
47,57,2010-01-29 08:49:20
26,62,2010-01-29 09:58:34
6,10,2010-01-29 10:37:29
6,48,2010-01-29 10:37:29
0,32,2010-01-29 14:05:34
31,7,2010-02-01 08:45:01
31,50,2010-02-01 08:45:01
56,0,2010-02-01 09:49:31
2,31,2010-02-01 10:27:36
5,40,2010-02-01 10:51:03
5,12,2010-02-01 10:51:03
42,12,2010-02-01 11:38:29
57,0,2010-02-01 11:41:10
46,68,2010-02-01 11:46:17
42,26,2010-02-01 14:07:17
22,49,2010-02-02 07:38:31
